April	april
August	augustus
Dezember	december
Februar	februari
Januar	januari
Juli	juli
Juni	juni
Marsch	maart
Mai	kunnen
November	november
Oktober	oktober
September	september
Wut	woede
Apfel	appel
Banane	banaan
Schlafzimmer	slaapkamer
Bier	bier
Fahrrad	fiets
Vogel	vogel
Schwarz	zwart
Blau	blauw
Boot	boot
Buch	boek
Bremse	rem
brot	brood
Bruder	broer
braun	bruin
Bus	bus
Auto	auto
Katze	kat
Käse	kaas
Huhn	kip
Kaffee	koffie
Computer	computer
Tochter	dochter
Hund	hond
Tür	deur
runter	omlaag
Ost	oosten
Ei	ei
acht	acht
achtzehn	achttien
elf	elf
Motor	motor
Vater	vader
Furcht	angst
fünfzehn	vijftien
Fisch	vis
fünf	vijf
Boden	vloer
Blume	bloem
Essen	eten
vier	vier
vierzehn	veertien
Freundschaft	vriendschap
Garten	tuin
Großvater	grootvader
Oma	oma
Grün	groente
Glück	geluk
Er	hij
Hoffnung	hoop
Haus	huis
Eifersucht	jaloezie
Küche	keuken
links	links
Wohnzimmer	woonkamer
Liebe	liefde
Fleisch	vlees
Milch	melk
Mutter	moeder
Motorrad	motorfiets
neun	negen
neunzehn	negentien
Norden	noorden
eins	een
Stift	pen
Telefon	telefoon
Rosa	roze
Flugzeug	vliegtuig
Stolz	trots
lila	paars
Rot	rood
Reis	rijst
Rechts	rechts
Dach	dak
Zimmer	kamer
Traurigkeit	droefheid
Salz	zout
Sieben	zeven
siebzehn	zeventien
sie	zij
Schwester	zus
sechs	zes
sechzehn	zestien
Sohn	zoon
Süd	zuiden
Zucker	suiker
Tee	thee
zehn	tien
dreizehn	dertien
drei	drie
Baum	boom
zwölf	twaalf
zwanzig	twintig
zwei	twee
hoch	hoog
Wand	muur
Wasser	water
Wir	wij
Westen	westen
Rad	wiel
Weiß	wit
Fenster	raam
Wein	wijn
Gelb	geel
