aprile	avril
agosto	août
dicembre	décembre
febbraio	février
gennaio	janvier
luglio	juillet
giugno	juin
marzo	mars
maggio	mai
novembre	novembre
ottobre	octobre
settembre	septembre
rabbia	colère
mela	pomme
banana	banane
camera da letto	chambre
birra	bière
bicicletta	vélo
uccello	oiseau
nero	noir
blu	bleu
barca	bateau
libro	livre
freno	frein
pane	pain
fratello	frère
marrone	marron
autobus	autobus
auto	voiture
gatto	chat
formaggio	fromage
pollo	poulet
caffè	café
computer	ordinateur
ragazza	fille
cane	chien
porta	porte
giù	bas
est	est
uovo	œuf
otto	huit
diciotto	dix-huit
undici	onze
motore	moteur
padre	père
paura	peur
quindici	quinze
pescare	poisson
cinque	cinq
pavimento	plancher
fiore	fleur
cibo	nourriture
quattro	quatre
quattordici	quatorze
amicizia	amitié
giardino	jardin
nonno	grand-père
nonna	grand-mère
verde	vert
felicità	bonheur
egli	il
speranza	espérance
casa	maison
gelosia	jalousie
cucina	cuisine
sinistra	gauche
soggiorno	salon
amore	amour
carne	viande
latte	lait
madre	mère
moto	moto
nuovo	neuf
diciannove	dix-neuf
nord	nord
un	un
penna	stylo
telefono	téléphone
rosa	rose
aereo	avion
orgoglio	fierté
viola	violet
rosso	rouge
riso	riz
giusto	droite
tetto	toit
pezzo	pièce
tristezza	tristesse
sale	sel
sette	sept
diciassette	dix-sept
lei	elle
sorella	sœur
sei	six
sedici	seize
figlio	fils
sud	sud
zucchero	sucre
tè	thé
dieci	dix
tredici	treize
tre	trois
albero	arbre
dodici	douze
venti	vingt
due	deux
superiore	haut
parete	mur
acqua	eau
noi	nous
ovest	ouest
ruota	roue
bianco	blanc
finestra	fenêtre
vino	vin
giallo	jaune
