aprile	abril
agosto	agosto
dicembre	dezembro
febbraio	fevereiro
gennaio	janeiro
luglio	julho
giugno	junho
marzo	marchar
potrebbe	poderia
novembre	novembro
ottobre	outubro
settembre	setembro
rabbia	raiva
rifiuti	maçã
banana	banana
soggiorno	sala
birra	cerveja
bicicletta	bicicleta
uccello	pássaro
nero	preto
blu	azul
barca	barco
libro	livro
freno	freio
pane	pão
fratello	irmão
bruna	castanha
autobus	ônibus
auto	carro
gatto	gato
formaggio	queijo
pollo	frango
caffè	café
computer	computador
ragazza	garota
cucciolo	cachorro
porta	porta
sotto	abaixo
quello	esse
uovo	ovo
otto	oito
diciotto	dezoito
undici	onze
il motore	motor
padre	pai
temere	temer
quindici	quinze
pescare	peixe
cinque	cinco
pavimento	chão
fiore	flor
cibo	comida
quattro	quatro
quattordici	quatorze
amicizia	amizade
giardino	jardim
nonna	avô
nonna	avó
verde	verde
felicità	felicidade
lui	ele
abbi fede	ter esperança
casa	lar
gelosia	ciúmes
cucina	cozinha
sinistra	esquerda
soggiorno	sala de estar
amore	amor
carne	carne
latte	leite
madre	mãe
motociclo	motocicleta
nuovo	novo
diciannove	dezenove
nord	norte
per	para
penna	caneta
telefono	telefone
rosa	rosa
aereo	avião
orgoglio	orgulho
viola	roxo
rosso	vermelho
riso	arroz
giusto	certo
tetto	teto
pezzo	pedaço
tristezza	tristeza
sale	sal
sette	sete
diciassette	dezessete
lei	ela
sorella	irmã
sei	seis
sedici	dezesseis
figlio	filho
sud	sul
zucchero	açúcar
tè	chá
dieci	dez
tredici	treze
tre	três
albero	árvore
dodici	doze
venti	vinte
due	dois
alto	alto
parete	parede
acqua	água
noi	nós
ovest	oeste
ruota	roda
bianco bianco	branco branco
finestra	janela
lui venne	veio
giallo	amarelo
