compra	inköp
amigo	vän
amigo	vän
ano	år
agosto	augusti
tarde	eftermiddag
dinheiro	pengar
artefato	artefakt
astronomia	astronomi
avião	plan
aeroporto	flygplats
banana	banan
banco	bank
enviar	att skicka
biblioteca	bibliotek
biologia	biologi
ônibus	buss
café	kaffe
centenas	hundratals
cadeira	stol
gato	katt
cachorro	valp
química	kemisk
cinco	fem
cinquenta	femtio
cinema	biograf
teclado	tangentbord
cliente	klient
habilidade	förmåga
contrato	avtal
crime	brottslighet
cultura	kultur
dança	dansa
dois	två
dez	tio
dezoito	arton
dezenove	nitton
dezessete	sjutton
doze	tolv
dezembro	december
água	vatten
ela	hon
empresa	företag
exposição	utställning
fatura	faktura
janela	fönster
flor	blomma
treinamento	träning
floresta	skog
fraternidade	broderskap
queijo	ost
fruta	frukt
irmão	bror
galeria	galleri
estação	station
governo	regering
hora	timme
história	historia
oito	åtta
hospital	sjukhus
hospital	sjukhus
hotel	hotell
impressora	skrivare
dia	dag
julho	juli
junho	juni
justiça	rättvisa
lago	sjö
leite	mjölk
liberdade	frihet
livro	bok
livro	bok
lei	lag
lazer	fritid
lua	måne
vegetais	grönsaker
loja	lagra
lar	hem
mercado	marknad
matemática	matematik
manhã	morgon
mar	hav
mil	tusen
minuto	minut
montanha	fjäll
música	musik
museu	museum
mãe	mor
doutor	läkare
medicamento	medicin
neve	snö
nove	nio
nós	oss
novembro	november
nuvem	moln
noite	natt
outubro	oktober
onze	elva
laranja	orange
computador	dator
pão	bröd
papel	papper
pintar	att måla
farmacia	apotek
filosofia	filosofi
fotografia	fotografi
físico	fysiker
piscina	slå samman
praia	strand
chuva	regn
peixe	fisk
polícia	polis
política	politik
maçã	skräp
porta	dörr
frango	kyckling
cadeia	kedja
psicologia	psykologi
pai	far
quarenta	fyrtio
quatorze	fjorton
quatro	fyra
noventa	nittio
oitenta	åttio
quinze	femton
religião	religion
restaurante	restaurang
rio	flod
reserva	boka
reunião	möte
sucesso	framgång
salada	sallad
salário	lön
saúde	hälsa
ciência	vetenskap
escultura	skulptur
segundo	andra
dezesseis	sexton
sete	sju
setembro	september
seis	sex
noite	natt
sessenta	sextio
setenta	sjuttio
sol	sol
rato	mus
esporte	sport
caneta	penna
irmã	syster
mesa	tabell
tempo	tid
chá	te
bilhete	biljett
turismo	turism
tradição	tradition
trem	tåg
trabalho	arbete
treze	tretton
trinta	trettio
três	tre
telefone	telefon
férias	semester
vento	vind
oferta	erbjudande
carne	kött
cidade	stad
cidade	stad
vinte	tjugo
carro	bil
voto	rösta
você	du
jornada	resa
bicicleta	cykel
falha	fel
escola	skola
tela	skärm
igualdade	jämlikhet
escolha	val
equipamento	utrustning
estrela	stjärna
