compra	achat
amigo	ami
amiga	amie
año	année
agosto	août
tarde	après-midi
dinero	argent
artefacto	artefact
astronomía	astronomie
avión	avion
aeropuerto	aéroport
plátano	banane
banco	banque
barco	bateau
biblioteca	bibliothèque
biología	biologie
autobús	bus
café	café
cien	cent
silla	chaise
gato	chat
perro	chien
química	chimie
cinco	cinq
cincuenta	cinquante
cine	cinéma
teclado	clavier
cliente	client
habilidad	compétence
contrato	contrat
delito	crime
cultura	culture
danza	danse
dos	deux
diez	dix
dieciocho	dix-huit
diecinueve	dix-neuf
diecisiete	dix-sept
doce	douze
diciembre	décembre
agua	eau
ella	elle
empresa	entreprise
exposición	exposition
factura	facture
ventana	fenêtre
flor	fleur
formación	formation
bosque	forêt
fraternidad	fraternité
queso	fromage
fruta	fruit
hermano	frère
galería	galerie
estación	gare
gobierno	gouvernement
hora	heure
historia	histoire
ocho	huit
hospital	hôpital
hospital	hôpital
hotel	hôtel
impresora	imprimante
día	jour
julio	juillet
junio	juin
justicia	justice
lago	lac
leche	lait
libertad	liberté
libro	livre
libro	livre
ley	loi
ocio	loisir
luna	lune
verduras	légumes
tienda	magasin
casa	maison
mercado	marché
matemáticas	mathématiques
mañana	matin
mar	mer
mil	mille
minuto	minute
montaña	montagne
música	musique
museo	musée
madre	mère
médico	médecin
medicamento	médicament
nieve	neige
nueve	neuf
nosotros	nous
noviembre	novembre
nube	nuage
noche	nuit
octubre	octobre
once	onze
naranja	orange
ordenador	ordinateur
pan	pain
papel	papier
pintura	peinture
farmacia	pharmacie
filosofía	philosophie
fotografía	photographie
física	physique
piscina	piscine
playa	plage
lluvia	pluie
pescado	poisson
policía	policier
política	politique
manzana	pomme
puerta	porte
pollo	poulet
cárcel	prison
psicología	psychologie
padre	père
cuarenta	quarante
catorce	quatorze
cuatro	quatre
noventa	quatre-vingt-dix
ochenta	quatre-vingts
quince	quinze
religión	religion
restaurante	restaurant
río	rivière
reserva	réservation
reunión	réunion
éxito	réussite
ensalada	salade
sueldo	salaire
salud	santé
ciencia	science
escultura	sculpture
segundo	seconde
dieciséis	seize
siete	sept
septiembre	septembre
seis	six
noche	soir
sesenta	soixante
setenta	soixante-dix
sol	soleil
ratón	souris
deporte	sport
bolígrafo	stylo
hermana	sœur
mesa	table
tiempo	temps
té	thé
boleto	ticket
turismo	tourisme
tradición	tradition
tren	train
trabajo	travail
trece	treize
treinta	trente
tres	trois
teléfono	téléphone
vacaciones	vacances
viento	vent
venta	vente
carne	viande
pueblo	village
ciudad	ville
veinte	vingt
coche	voiture
voto	vote
vosotros	vous
viaje	voyage
bicicleta	vélo
fracaso	échec
escuela	école
pantalla	écran
igualdad	égalité
elección	élection
equipo	équipe
estrella	étoile
