abril	april
agosto	augusti
diciembre	december
febrero	februari
enero	januari
julio	juli
junio	juni
marzo	mars
mayo	maj
noviembre	november
octubre	oktober
septiembre	september
rabia	rasa
manzana	äpple
plátano	banan
habitación	rum
cerveza	öl
bicicleta	cykel
pájaro	fågel
negro	svart
azul	blå
bote	båt
libro	bok
freno	broms
pan	bröd
hermano	bror
castaño	kastanj
autobús	buss
carro	bil
gato	katt
queso	ost
pollo	kyckling
café	kaffe
computadora	dator
chica	flicka
perro	hund
puerta	dörr
abajo	nedan
este	detta
huevo	ägg
ocho	åtta
dieciocho	arton
once	elva
motor	motor
padre	far
miedo	rädsla
quince	femton
pez	fisk
cinco	fem
piso	golv
flor	blomma
alimento	mat
cuatro	fyra
catorce	fjorton
amistad	vänskap
jardín	trädgård
abuelo	farfar
abuela	mormor
verde	grön
felicidad	lycka
él	han
esperanza	hoppas
casa	hem
celos	svartsjuka
cocina	kök
izquierda	vänster
sala de estar	vardagsrum
amor	kärlek
carne	kött
leche	mjölk
madre	mor
moto	motorcykel
nuevo	ny
diecinueve	nitton
norte	norr
a	till
bolígrafo	penna
teléfono	telefon
rosa	rosa
avión	plan
orgullo	stolthet
púrpura	lila
rojo	röd
arroz	ris
derecha	höger
techo	tak
pedazo	bit
tristeza	sorg
sal	salt
siete	sju
diecisiete	sjutton
ella	hon
hermana	syster
seis	sex
dieciséis	sexton
hijo	son
sur	söder
azúcar	socker
té	te
diez	tio
trece	tretton
tres	tre
árbol	träd
doce	tolv
veinte	tjugo
dos	två
alto	hög
muro	vägg
agua	vatten
nosotros	oss
oeste	västerut
rueda	hjul
blanco, blanca	vit vit
ventana	fönster
vino	kom
amarillo	gul
