inköp	purchase
vän	friend
vän	friend
år	year
augusti	august
eftermiddag	afternoon
pengar	money
artefakt	artefact
astronomi	astronomy
plan	plan
flygplats	airport
banan	banana
bank	bank
båt	boat
bibliotek	library
biologi	biology
buss	bus
kaffe	coffee
hundra	hundred
stol	chair
katt	cat
hund	dog
kemi	chemistry
fem	five
femtio	fifty
biograf	cinema
tangentbord	keyboard
kund	customer
skicklighet	skill
avtal	agreement
brottslighet	crime
kultur	culture
dansa	dance
två	two
tio	ten
arton	eighteen
nitton	nineteen
sjutton	seventeen
tolv	twelve
december	december
vatten	water
hon	she
företag	business
exponering	exposure
faktura	invoice
fönster	window
blomma	flower
träning	exercise
skog	forest
broderskap	brotherhood
ost	cheese
frukt	fruit
bror	brother
galleri	gallery
station	station
regering	government
timme	hour
historia	history
åtta	eight
sjukhus	hospital
sjukhus	hospital
hotell	hotel
skrivare	printer
dag	day
juli	july
juni	june
rättvisa	justice
sjö	lake
mjölk	milk
frihet	freedom
bok	book
bok	book
lag	law
fritid	free time
måne	moon
grönsaker	vegetables
lagra	store
hus	house
gå	go
matematik	mathematics
morgon	morning
hav	sea
tusen	thousand
minut	minute
fjäll	mountain
musik	music
museum	museum
mor	mother
läkare	doctor
medicin	medicine
snö	snow
nio	nine
vi	we
november	november
moln	cloud
natt	night
oktober	october
elva	eleven
orange	orange
dator	computer
bröd	bread
papper	paper
måla	paint
apotek	pharmacy
filosofi	philosophy
fotografi	photography
fysisk	physical
slå samman	merge
strand	beach
regn	rain
fisk	fish
polis	police
politik	policy
äpple	apple
dörr	door
kyckling	chicken
fängelse	prison
psykologi	psychology
far	father
fyrtio	forty
fjorton	fourteen
fyra	four
nittio	ninety
åttio	eighty
femton	fifteen
religion	religion
restaurang	restaurant
flod	river
bokning	reservation
möte	meeting
framgång	success
sallad	salad
lön	salary
hälsa	health
vetenskap	science
skulptur	sculpture
andra	other
sexton	sixteen
sju	seven
september	september
sex	six
kväll	evening
sextio	sixty
sjuttio	seventy
sol	solar
mus	mouse
sport	sports
penna	pen
syster	sister
tabell	chart
tid	time
te	tea
biljett	ticket
turism	tourism
tradition	tradition
tåg	train
arbete	work
tretton	thirteen
trettio	thirty
tre	three
telefon	phone
semester	vacation
vind	wind
försäljning	sale
kött	meat
by	village
stad	city
tjugo	twenty
bil	car
rösta	vote
du	you
resa	trip
cykel	bike
fel	wrong
skola	school
skärm	screen
jämlikhet	equality
val	choice
team	team
stjärna	star
