vän	Freund
flickvän	Freundin
vänskap	Freundschaft
kärlek	Liebe
djur	Tier
eftermiddag	Nachmittag
träd	Baum
pengar	Geld
konst	Kunst
höst	Herbst
flygplan	Flugzeug
flygplats	Flughafen
banan	Banane
fartyg	Schiff
trevlig	schön
bibliotek	Bibliothek
skrivbord	Schreibtisch
buss	Bus
kaffe	Kaffee
karta	Karte
stol	Stuhl
keps	Hut
katt	Katze
värma	warm
skor	Schuhe
hund	Hund
himmel	Himmel
fem	fünf
tangentbord	Tastatur
dansa	Tanz
två	zwei
december	Dezember
vatten	Wasser
hon	sie
jobb	Job
bedriva	Unternehmen
familj	Familie
fru	Ehefrau
fönster	Fenster
film	Film
blomma	Blume
skog	Wald
kall	kalt
ost	Käse
bror	Bruder
järnvägsstation	Bahnhof
regering	Regierung
tid	Zeit
vinter	Winter
åtta	acht
sjukhus	Krankenhaus
hotell	Hotel
skrivare	Drucker
trädgård	Garten
juli	Juli
juni	Juni
rättvisa	Gerechtigkeit
sjö	See
mjölk	Milch
bok	Buch
lag	Gesetz
måne	Mond
glasögon	Brille
företag	Geschäft
hus	Haus
marknadsföra	Markt
make	Ehemann
morgon	Morgen
hav	Meer
minut	Minute
fjäll	Berg
klocka	Uhr
musik	Musik
mor	Mutter
snö	Schnee
vi	wir
moln	Wolke
natt	Nacht
fågel	Vogel
orange	Orange
dator	Computer
bröd	Brot
byxor	Hose
papper	Papier
land	Land
simbassäng	Schwimmbad
strand	Strand
regn	Regen
fisk	Fisch
politik	Politik
äpple	Apfel
dörr	Tür
vår	Frühling
lärare	Lehrer
far	Vater
fyra	vier
restaurang	Restaurant
flöde	Fluss
klänning	Kleid
gata	Straße
väska	Tasche
andra	Sekunde
syster	Schwester
kväll	Abend
sol	Sonne
sol	Sonne
mus	Maus
sporter	Sport
kulspetspenna	Kugelschreiber
tabell	Tisch
te	Tee
tåg	Zug
arbete	Arbeit
tre	drei
telefon	Telefon
universitet	Universität
by	Dorf
stad	Stadt
bil	Auto
resa	Reise
cykel	Fahrrad
skola	Schule
företag	Wirtschaft
skärm	Bildschirm
stjärna	Stern
högskolestudent	Student
sommar	Sommer
ö	Insel
