april	aprile
augusti	agosto
december	dicembre
februari	febbraio
januari	gennaio
juli	luglio
juni	giugno
mars	marzo
maj	maggio
november	novembre
oktober	ottobre
september	settembre
ilska	rabbia
äpple	mela
banan	banana
sovrum	camera da letto
öl	birra
cykel	bicicletta
fågel	uccello
svart	nero
blå	blu
båt	barca
bok	libro
broms	freno
bröd	pane
bror	fratello
brun	marrone
buss	autobus
bil	auto
katt	gatto
ost	formaggio
kyckling	pollo
kaffe	caffè
dator	computer
dotter	figlia
hund	cane
dörr	porta
ner	giù
öster	est
ägg	uovo
åtta	otto
arton	diciotto
elva	undici
motor	motore
far	padre
rädsla	paura
femton	quindici
fisk	pescare
fem	cinque
golv	pavimento
blomma	fiore
mat	cibo
fyra	quattro
fjorton	quattordici
vänskap	amicizia
trädgård	giardino
farfar	nonno
mormor	nonna
grön	verde
lycka	felicità
han	lui
hoppas	speranza
hus	casa
svartsjuka	gelosia
kök	cucina
vänster	sinistra
vardagsrum	soggiorno
kärlek	amore
kött	carne
mjölk	latte
mor	madre
motorcykel	moto
nio	nove
nitton	diciannove
norr	nord
ett	uno
penna	penna
telefon	telefono
rosa	rosa
plan	piano
stolthet	orgoglio
lila	viola
röd	rosso
ris	riso
höger	giusto
tak	soffitto
rum	camera
sorg	tristezza
salt	sale
sju	sette
sjutton	diciassette
hon	lei
syster	sorella
sex	sei
sexton	sedici
son	figlio
söder	sud
socker	zucchero
te	tè
tio	dieci
tretton	tredici
tre	tre
träd	albero
tolv	dodici
tjugo	venti
två	due
upp	su
vägg	parete
vatten	acqua
vi	noi
västerut	ovest
hjul	ruota
vit	bianco
fönster	finestra
vin	vino
gul	giallo
